コード,銘柄名,市場,現在値,前日比(%),時価総額(百万円),時価総額(億円),時価総額(兆円),ランク
8006,ユアサ・フナショク,東S,1479,-1.0(-0.07%),"28,975",290,0.29,06_100億以上~500億未満
8007,高島,東P,729,-2.0(-0.27%),"25,062",251,0.25,06_100億以上~500億未満
8008,ヨンドシーＨＬＤＧ,東P,1791,-4.0(-0.22%),"43,577",436,0.44,06_100億以上~500億未満
8011,三陽商会,東P,3625,-25.0(-0.68%),"36,964",370,0.37,06_100億以上~500億未満
8012,長瀬産業,東P,1111.5,-7.5(-0.67%),"488,652","4,887",4.89,04_1000億以上~5000億未満
8013,ナイガイ,東S,382,+20.0(+5.52%),"3,139",31,0.03,07_100億未満
8014,蝶理,東P,3880,-130.0(-3.24%),"98,178",982,0.98,05_500億以上~1000億未満
8015,豊田通商,東P,6436,-64.0(-0.98%),"6,836,126","68,361",68.36,02_1兆以上~10兆未満
8016,オンワードＨＬＤＧ,東P,708,-13.0(-1.80%),"100,481","1,005",1.00,04_1000億以上~5000億未満
8018,三共生興,東S,892,+2.0(+0.22%),"41,032",410,0.41,06_100億以上~500億未満
8020,兼松,東P,2016,-29.5(-1.44%),"340,705","3,407",3.41,04_1000億以上~5000億未満
8022,美津濃,東P,3090,-110.0(-3.44%),"246,380","2,464",2.46,04_1000億以上~5000億未満
8023,ＤＡＩＫＯ　ＸＴＥＣＨ,東S,953,-31.0(-3.15%),"13,217",132,0.13,06_100億以上~500億未満
8025,ツカモトコーポレーション,東S,1209,-5.0(-0.41%),"4,920",49,0.05,07_100億未満
8029,ルックＨＬＤＧ,東S,2631,-29.0(-1.09%),"20,571",206,0.21,06_100億以上~500億未満
8030,中央魚類,東S,3405,-50.0(-1.45%),"14,694",147,0.15,06_100億以上~500億未満
8031,三井物産,東P,5041,-18.0(-0.36%),"14,440,786","144,408",144.41,01_10兆以上
8032,日本紙パルプ商事,東P,1064,-9.0(-0.84%),"127,909","1,279",1.28,04_1000億以上~5000億未満
8035,東京エレクトロン,東P,63660,"+2,760.0(+4.53%)","29,794,962","297,950",297.95,01_10兆以上
8037,カメイ,東P,3410,-20.0(-0.58%),"112,503","1,125",1.13,04_1000億以上~5000億未満
8039,築地魚市場,東S,3665,-25.0(-0.68%),"8,259",83,0.08,07_100億未満
8040,東京ソワール,東S,1038,-2.0(-0.19%),"4,007",40,0.04,07_100億未満
8041,ＯＵＧ　ＨＬＤＧ,東S,4260,+10.0(+0.24%),"23,695",237,0.24,06_100億以上~500億未満
8043,スターゼン,東P,1145,-6.0(-0.52%),"67,060",671,0.67,05_500億以上~1000億未満
8045,横浜丸魚,東S,1628,+11.0(+0.68%),"11,822",118,0.12,06_100億以上~500億未満
8046,丸藤シートパイル,東S,817,-7.0(-0.85%),"16,340",163,0.16,06_100億以上~500億未満
8050,セイコーグループ,東P,7000,-180.0(-2.51%),"579,660","5,797",5.80,03_5000億以上~1兆未満
8051,山善,東P,1670,-10.0(-0.60%),"159,160","1,592",1.59,04_1000億以上~5000億未満
8052,椿本興業,東P,2648,-29.0(-1.08%),"51,620",516,0.52,05_500億以上~1000億未満
8053,住友商事,東P,6775,-67.0(-0.98%),"8,096,904","80,969",80.97,02_1兆以上~10兆未満
8056,ＢＩＰＲＯＧＹ,東P,4521,-51.0(-1.12%),"447,396","4,474",4.47,04_1000億以上~5000億未満
8057,内田洋行,東P,1937,-43.0(-2.17%),"100,912","1,009",1.01,04_1000億以上~5000億未満
8058,三菱商事,東P,4896,-83.0(-1.67%),"18,166,750","181,668",181.67,01_10兆以上
8059,第一実業,東P,3010,+0.0(+0.00%),"98,605",986,0.99,05_500億以上~1000億未満
8060,キヤノンマーケティングジャパン,東P,3565,-110.0(-2.99%),"792,000","7,920",7.92,03_5000億以上~1兆未満
8061,西華産業,東P,2934,-136.0(-4.43%),"108,446","1,084",1.08,04_1000億以上~5000億未満
8065,佐藤商事,東P,3280,-20.0(-0.61%),"71,501",715,0.72,05_500億以上~1000億未満
8066,三谷商事,東S,2440,-26.0(-1.05%),"222,040","2,220",2.22,04_1000億以上~5000億未満
8070,東京産業,東P,779,+1.0(+0.13%),"22,341",223,0.22,06_100億以上~500億未満
8074,ＹＵＡＳＡ,東P,5350,-70.0(-1.29%),"118,235","1,182",1.18,04_1000億以上~5000億未満
8075,神鋼商事,東P,2322,-20.0(-0.85%),"61,723",617,0.62,05_500億以上~1000億未満
8076,カノークス,東S,1949,+1.0(+0.05%),"21,641",216,0.22,06_100億以上~500億未満
8077,トルク,東S,205,-2.0(-0.97%),"5,332",53,0.05,07_100億未満
8078,阪和興業,東P,1722,-12.0(-0.69%),"364,484","3,645",3.64,04_1000億以上~5000億未満
8079,正栄食品工業,東P,3895,-50.0(-1.27%),"66,604",666,0.67,05_500億以上~1000億未満
8081,カナデン,東P,2512,-45.0(-1.76%),"56,520",565,0.57,05_500億以上~1000億未満
8084,ＲＹＯＤＥＮ,東P,3930,+125.0(+3.29%),"84,935",849,0.85,05_500億以上~1000億未満
8085,ナラサキ産業,東S,3990,-10.0(-0.25%),"21,249",212,0.21,06_100億以上~500億未満
8086,ニプロ,東P,1722,-12.0(-0.69%),"295,253","2,953",2.95,04_1000億以上~5000億未満
8088,岩谷産業,東P,1984,-28.0(-1.39%),"464,745","4,647",4.65,04_1000億以上~5000億未満
8089,ナイス,東S,1841,-10.0(-0.54%),"22,548",225,0.23,06_100億以上~500億未満
8091,ニチモウ,東P,2158,+23.0(+1.08%),"19,441",194,0.19,06_100億以上~500億未満
8093,極東貿易,東P,1720,-7.0(-0.41%),"20,903",209,0.21,06_100億以上~500億未満
8095,アステナＨＬＤＧ,東P,473,-6.0(-1.25%),"19,479",195,0.19,06_100億以上~500億未満
8097,三愛オブリ,東P,2076,-12.0(-0.57%),"130,788","1,308",1.31,04_1000億以上~5000億未満
8098,稲畑産業,東P,3805,+5.0(+0.13%),"204,382","2,044",2.04,04_1000億以上~5000億未満
8101,ＧＳＩクレオス,東P,2280,-15.0(-0.65%),"28,796",288,0.29,06_100億以上~500億未満
8103,明和産業,東P,882,-3.0(-0.34%),"35,573",356,0.36,06_100億以上~500億未満
8104,クワザワＨＬＤＧ,東S,635,+13.0(+2.09%),"10,601",106,0.11,06_100億以上~500億未満
8105,Ｂｉｔｃｏｉｎ　Ｊａｐａｎ,東S,276,-80.0(-22.47%),"19,610",196,0.20,06_100億以上~500億未満
8107,キムラタン,東S,32,+0.0(+0.00%),"8,813",88,0.09,07_100億未満
8111,ゴールドウイン,東P,2085,-24.0(-1.14%),"296,788","2,968",2.97,04_1000億以上~5000億未満
8113,ユニ・チャーム,東P,885.3,-29.1(-3.18%),"1,648,874","16,489",16.49,02_1兆以上~10兆未満
8115,ムーンバット,東S,1643,+2.0(+0.12%),"7,845",78,0.08,07_100億未満
8117,中央自動車工業,東S,2056,+93.0(+4.74%),"123,483","1,235",1.23,04_1000億以上~5000億未満
8118,キング,東S,1092,+15.0(+1.39%),"27,051",271,0.27,06_100億以上~500億未満
8119,三栄コーポレーション,東S,754,+0.0(+0.00%),"7,700",77,0.08,07_100億未満
8123,川辺,東S,1313,+1.0(+0.08%),"2,443",24,0.02,07_100億未満
8125,ワキタ,東P,1629,-6.0(-0.37%),"84,743",847,0.85,05_500億以上~1000億未満
8127,ヤマトインターナショナル,東S,584,-4.0(-0.68%),"12,441",124,0.12,06_100億以上~500億未満
8129,東邦ＨＬＤＧ,東P,4082,-32.0(-0.78%),"298,092","2,981",2.98,04_1000億以上~5000億未満
8130,サンゲツ,東P,2853,+15.0(+0.53%),"168,898","1,689",1.69,04_1000億以上~5000億未満
8131,ミツウロコグループＨＬＤＧ,東S,1763,-11.0(-0.62%),"100,599","1,006",1.01,04_1000億以上~5000億未満
8132,シナネンＨＬＤＧ,東P,7630,+0.0(+0.00%),"84,285",843,0.84,05_500億以上~1000億未満
8133,伊藤忠エネクス,東P,1932,-16.0(-0.82%),"225,814","2,258",2.26,04_1000億以上~5000億未満
8135,ゼット,東S,408,-2.0(-0.49%),"8,202",82,0.08,07_100億未満
8136,サンリオ,東P,920.7,+11.7(+1.29%),"1,175,773","11,758",11.76,02_1兆以上~10兆未満
8137,サンワテクノス,東P,3790,-50.0(-1.30%),"60,807",608,0.61,05_500億以上~1000億未満
8138,三京化成,東S,4005,+105.0(+2.69%),"4,588",46,0.05,07_100億未満
8139,ナガホリ,東S,2217,-33.0(-1.47%),"37,187",372,0.37,06_100億以上~500億未満
8141,新光商事,東P,1584,+5.0(+0.32%),"49,121",491,0.49,06_100億以上~500億未満
8142,トーホー,東P,1285,-23.0(-1.76%),"42,452",425,0.42,06_100億以上~500億未満
8143,ラピーヌ,東S,174,+0.0(+0.00%),447,4,0.00,07_100億未満
8144,デンキョーグループＨＬＤＧ,東S,1316,+1.0(+0.08%),"8,771",88,0.09,07_100億未満
8147,トミタ,東S,1232,-18.0(-1.44%),"7,587",76,0.08,07_100億未満
8150,三信電気,東P,2800,-26.0(-0.92%),"45,588",456,0.46,06_100億以上~500億未満
8151,東陽テクニカ,東P,2111,+37.0(+1.78%),"55,065",551,0.55,05_500億以上~1000億未満
8152,ソマール,東S,7310,-170.0(-2.27%),"14,318",143,0.14,06_100億以上~500億未満
8153,モスフードサービス,東P,3450,+0.0(+0.00%),"110,434","1,104",1.10,04_1000億以上~5000億未満
8154,加賀電子,東P,4980,+135.0(+2.79%),"261,384","2,614",2.61,04_1000億以上~5000億未満
8157,都築電気,東P,4040,-10.0(-0.25%),"76,671",767,0.77,05_500億以上~1000億未満
8158,ソーダニッカ,東P,1102,+2.0(+0.18%),"25,311",253,0.25,06_100億以上~500億未満
8159,立花エレテック,東P,3190,-20.0(-0.62%),"79,831",798,0.80,05_500億以上~1000億未満
8160,木曽路,東P,2244,-45.0(-1.97%),"64,052",641,0.64,05_500億以上~1000億未満
8163,ＳＲＳ　ＨＬＤＧ,東P,1140,-3.0(-0.26%),"47,276",473,0.47,06_100億以上~500億未満
8165,千趣会,東S,118,-2.0(-1.67%),"6,143",61,0.06,07_100億未満
8166,タカキュー,東S,79,+0.0(+0.00%),"3,300",33,0.03,07_100億未満
8167,リテールパートナーズ,東P,1236,-1.0(-0.08%),"57,655",577,0.58,05_500億以上~1000億未満
8173,Ｊｏｓｈｉｎ,東P,3375,+210.0(+6.64%),"94,500",945,0.95,05_500億以上~1000億未満
8174,日本瓦斯,東P,2720,-91.5(-3.25%),"293,629","2,936",2.94,04_1000億以上~5000億未満
8179,ロイヤルＨＬＤＧ,東P,1202,-31.0(-2.51%),"119,868","1,199",1.20,04_1000億以上~5000億未満
8181,東天紅,東S,969,-6.0(-0.62%),"2,493",25,0.02,07_100億未満
8185,チヨダ,東P,942,-4.0(-0.42%),"32,367",324,0.32,06_100億以上~500億未満
8194,ライフコーポレーション,東P,2515,+0.0(+0.00%),"227,612","2,276",2.28,04_1000億以上~5000億未満
8198,マックスバリュ東海,東S,3235,+25.0(+0.78%),"103,435","1,034",1.03,04_1000億以上~5000億未満
8200,リンガーハット,東P,2032,-42.0(-2.03%),"52,970",530,0.53,05_500億以上~1000億未満
8202,ラオックスＨＬＤＧ,東S,148,+1.0(+0.68%),"13,814",138,0.14,06_100億以上~500億未満
8203,ＭｒＭａｘＨＤ,東P,708,+1.0(+0.14%),"28,045",280,0.28,06_100億以上~500億未満
8207,テンアライド,東S,281,+0.0(+0.00%),"11,369",114,0.11,06_100億以上~500億未満
8214,ＡＯＫＩ　ＨＬＤＧ,東P,1568,-7.0(-0.44%),"135,866","1,359",1.36,04_1000億以上~5000億未満
8217,オークワ,東P,769,+0.0(+0.00%),"32,250",323,0.32,06_100億以上~500億未満
8218,コメリ,東P,3490,+0.0(+0.00%),"187,794","1,878",1.88,04_1000億以上~5000億未満
8219,青山商事,東P,668,-7.0(-1.04%),"100,990","1,010",1.01,04_1000億以上~5000億未満
8225,タカチホ,東S,3275,-10.0(-0.30%),"2,383",24,0.02,07_100億未満
8226,理経,東S,404,-1.0(-0.25%),"6,268",63,0.06,07_100億未満
8227,しまむら,東P,3258,-40.0(-1.21%),"721,581","7,216",7.22,03_5000億以上~1兆未満
8230,はせがわ,東S,306,-5.0(-1.61%),"5,706",57,0.06,07_100億未満
8233,高島屋,東P,2002,-23.5(-1.16%),"611,028","6,110",6.11,03_5000億以上~1兆未満
8237,松屋,東P,1545,+50.0(+3.34%),"82,332",823,0.82,05_500億以上~1000億未満
8242,エイチ・ツー・オー　リテイリン,東P,2546.5,-13.5(-0.53%),"318,825","3,188",3.19,04_1000億以上~5000億未満
8244,近鉄百貨店,東S,1726,-2.0(-0.12%),"69,796",698,0.70,05_500億以上~1000億未満
8247,大和,東S,271,-3.0(-1.09%),"1,627",16,0.02,07_100億未満
8252,丸井グループ,東P,2687,-31.5(-1.16%),"493,495","4,935",4.93,04_1000億以上~5000億未満
8253,クレディセゾン,東P,4045,+4.0(+0.10%),"651,660","6,517",6.52,03_5000億以上~1兆未満
8254,さいか屋,東S,370,+80.0(+27.59%),"2,370",24,0.02,07_100億未満
8255,アクシアル　リテイリング,東P,1019,+0.0(+0.00%),"95,330",953,0.95,05_500億以上~1000億未満
8260,井筒屋,東S,375,-4.0(-1.06%),"4,305",43,0.04,07_100億未満
8267,イオン,東P,1335.5,-15.5(-1.15%),"3,717,403","37,174",37.17,02_1兆以上~10兆未満
8273,イズミ,東P,901,+0.0(+0.00%),"193,711","1,937",1.94,04_1000億以上~5000億未満
8275,フォーバル,東S,1000,-3.0(-0.30%),"27,733",277,0.28,06_100億以上~500億未満
8276,平和堂,東P,2487,-21.0(-0.84%),"128,196","1,282",1.28,04_1000億以上~5000億未満
8278,フジ,東P,1900,-13.0(-0.68%),"165,028","1,650",1.65,04_1000億以上~5000億未満
8281,ゼビオＨＬＤＧ,東P,1015,+0.0(+0.00%),"48,630",486,0.49,06_100億以上~500億未満
8282,ケーズＨＬＤＧ,東P,2091.5,+46.5(+2.27%),"351,372","3,514",3.51,04_1000億以上~5000億未満
8283,ＰＡＬＴＡＣ,東P,6632,+0.0(+0.00%),"411,184","4,112",4.11,04_1000億以上~5000億未満
8285,三谷産業,東S,629,-11.0(-1.72%),"38,855",389,0.39,06_100億以上~500億未満
8289,Ｏｌｙｍｐｉｃグループ,東S,967,-1.0(-0.10%),"22,584",226,0.23,06_100億以上~500億未満
8291,日産東京販売ＨＬＤＧ,東S,574,-6.0(-1.03%),"34,198",342,0.34,06_100億以上~500億未満
8303,ＳＢＩ新生銀行,東P,1418,+26.0(+1.87%),"1,269,819","12,698",12.70,02_1兆以上~10兆未満
8304,あおぞら銀行,東P,2583,-120.5(-4.46%),"361,076","3,611",3.61,04_1000億以上~5000億未満
8306,三菱ＵＦＪ　ＦＧ,東P,3169,+32.0(+1.02%),"37,608,773","376,088",376.09,01_10兆以上
8308,りそなＨＬＤＧ,東P,2097,+44.5(+2.17%),"4,838,066","48,381",48.38,02_1兆以上~10兆未満
8309,三井住友トラストグループ,東P,5726,+7.0(+0.12%),"4,001,403","40,014",40.01,02_1兆以上~10兆未満
8316,三井住友ＦＧ,東P,6129,-19.0(-0.31%),"23,458,735","234,587",234.59,01_10兆以上
8331,千葉銀行,東P,2382.5,+44.0(+1.88%),"1,847,679","18,477",18.48,02_1兆以上~10兆未満
8334,群馬銀行,東P,2225.5,+26.5(+1.21%),"881,049","8,810",8.81,03_5000億以上~1兆未満
8336,武蔵野銀行,東P,2409,+25.0(+1.05%),"241,421","2,414",2.41,04_1000億以上~5000億未満
8337,千葉興業銀行,東P,2374,+51.0(+2.20%),"147,715","1,477",1.48,04_1000億以上~5000億未満
8338,筑波銀行,東P,609,+6.0(+1.00%),"50,275",503,0.50,05_500億以上~1000億未満
8341,七十七銀行,東P,3141,+57.0(+1.85%),"722,327","7,223",7.22,03_5000億以上~1兆未満
8343,秋田銀行,東P,5840,+10.0(+0.17%),"105,667","1,057",1.06,04_1000億以上~5000億未満
8344,山形銀行,東P,3035,+60.0(+2.02%),"97,776",978,0.98,05_500億以上~1000億未満
8345,岩手銀行,東P,1891,+35.0(+1.89%),"139,917","1,399",1.40,04_1000億以上~5000億未満
8346,東邦銀行,東P,744,+6.0(+0.81%),"187,860","1,879",1.88,04_1000億以上~5000億未満
8349,東北銀行,東S,1339,+8.0(+0.60%),"12,734",127,0.13,06_100億以上~500億未満
8354,ふくおかＦＧ,東P,6747,+212.0(+3.24%),"1,289,610","12,896",12.90,02_1兆以上~10兆未満
8358,スルガ銀行,東P,2259,+30.0(+1.35%),"388,863","3,889",3.89,04_1000億以上~5000億未満
8359,八十二長野銀行,東P,2343.5,+32.0(+1.38%),"1,157,144","11,571",11.57,02_1兆以上~10兆未満
8360,山梨中央銀行,東P,5870,+10.0(+0.17%),"192,436","1,924",1.92,04_1000億以上~5000億未満
8361,大垣共立銀行,東P,7190,+110.0(+1.55%),"296,817","2,968",2.97,04_1000億以上~5000億未満
8362,福井銀行,東P,5350,+120.0(+2.29%),"129,174","1,292",1.29,04_1000億以上~5000億未満
8364,清水銀行,東P,2421,+34.0(+1.42%),"28,184",282,0.28,06_100億以上~500億未満
8365,富山銀行,東S,2052,+48.0(+2.40%),"11,172",112,0.11,06_100億以上~500億未満
8366,滋賀銀行,東P,2073,+101.0(+5.12%),"498,454","4,985",4.98,04_1000億以上~5000億未満
8367,南都銀行,東P,1656,+18.0(+1.10%),"273,452","2,735",2.73,04_1000億以上~5000億未満
8368,百五銀行,東P,1900,+36.0(+1.93%),"482,826","4,828",4.83,04_1000億以上~5000億未満
8370,紀陽銀行,東P,4270,+40.0(+0.95%),"287,371","2,874",2.87,04_1000億以上~5000億未満
8377,ほくほくＦＧ,東P,6397,+109.0(+1.73%),"774,805","7,748",7.75,03_5000億以上~1兆未満
8381,山陰合同銀行,東P,2088,+29.0(+1.41%),"327,769","3,278",3.28,04_1000億以上~5000億未満
8383,鳥取銀行,東S,1452,+4.0(+0.28%),"13,968",140,0.14,06_100億以上~500億未満
8386,百十四銀行,東P,2403,+17.0(+0.71%),"275,192","2,752",2.75,04_1000億以上~5000億未満
8387,四国銀行,東P,2716,+17.0(+0.63%),"115,158","1,152",1.15,04_1000億以上~5000億未満
8388,阿波銀行,東P,6630,+40.0(+0.61%),"265,200","2,652",2.65,04_1000億以上~5000億未満
8392,大分銀行,東P,2210,+45.0(+2.08%),"173,415","1,734",1.73,04_1000億以上~5000億未満
8393,宮崎銀行,東P,1920,+30.0(+1.59%),"164,481","1,645",1.64,04_1000億以上~5000億未満
8395,佐賀銀行,東P,5200,+50.0(+0.97%),"88,067",881,0.88,05_500億以上~1000億未満
8399,琉球銀行,東P,2459,+19.0(+0.78%),"106,004","1,060",1.06,04_1000億以上~5000億未満
8410,セブン銀行,東P,274.5,-1.3(-0.47%),"323,720","3,237",3.24,04_1000億以上~5000億未満
8411,みずほＦＧ,東P,7645,+12.0(+0.16%),"18,675,451","186,755",186.75,01_10兆以上
8416,高知銀行,東S,1243,+19.0(+1.55%),"12,734",127,0.13,06_100億以上~500億未満
8418,山口ＦＧ,東P,2733.5,+29.5(+1.09%),"641,737","6,417",6.42,03_5000億以上~1兆未満
8424,芙蓉総合リース,東P,4070,-19.0(-0.46%),"369,814","3,698",3.70,04_1000億以上~5000億未満
8425,みずほリース,東P,1229,-4.0(-0.32%),"347,397","3,474",3.47,04_1000億以上~5000億未満
8439,東京センチュリー,東P,2355.5,-8.5(-0.36%),"1,159,173","11,592",11.59,02_1兆以上~10兆未満
8473,ＳＢＩ　ＨＬＤＧ,東P,2855,-30.0(-1.04%),"1,887,528","18,875",18.88,02_1兆以上~10兆未満
8508,Ｊトラスト,東S,728,-6.0(-0.82%),"97,200",972,0.97,05_500億以上~1000億未満
8511,日本証券金融,東P,2273,-26.0(-1.13%),"188,659","1,887",1.89,04_1000億以上~5000億未満
8518,日本アジア投資,東S,139,+0.0(+0.00%),"3,831",38,0.04,07_100億未満
8522,名古屋銀行,東P,5690,+60.0(+1.07%),"280,895","2,809",2.81,04_1000億以上~5000億未満
8524,北洋銀行,東P,984,+21.0(+2.18%),"372,011","3,720",3.72,04_1000億以上~5000億未満
8537,大光銀行,東S,2758,+6.0(+0.22%),"26,674",267,0.27,06_100億以上~500億未満
8541,愛媛銀行,東P,1946,+16.0(+0.83%),"76,725",767,0.77,05_500億以上~1000億未満
8542,トマト銀行,東S,1440,+31.0(+2.20%),"16,818",168,0.17,06_100億以上~500億未満
8544,京葉銀行,東P,2482,+64.0(+2.65%),"313,794","3,138",3.14,04_1000億以上~5000億未満
8550,栃木銀行,東P,929,+8.0(+0.87%),"101,826","1,018",1.02,04_1000億以上~5000億未満
8551,北日本銀行,東P,5280,+10.0(+0.19%),"44,583",446,0.45,06_100億以上~500億未満
8558,東和銀行,東P,1342,+17.0(+1.28%),"48,011",480,0.48,06_100億以上~500億未満
8562,福島銀行,東S,339,+7.0(+2.11%),"11,831",118,0.12,06_100億以上~500億未満
8563,大東銀行,東S,951,+7.0(+0.74%),"12,079",121,0.12,06_100億以上~500億未満
8566,リコーリース,東P,5880,-70.0(-1.18%),"183,710","1,837",1.84,04_1000億以上~5000億未満
8570,イオンフィナンシャルサービス,東P,1434,-25.0(-1.71%),"309,758","3,098",3.10,04_1000億以上~5000億未満
8572,アコム,東S,442.1,-8.4(-1.86%),"692,600","6,926",6.93,03_5000億以上~1兆未満
8584,ジャックス,東P,3370,-65.0(-1.89%),"151,852","1,519",1.52,04_1000億以上~5000億未満
8585,オリエントコーポレーション,東P,829,-33.0(-3.83%),"142,495","1,425",1.42,04_1000億以上~5000億未満
8591,オリックス,東P,6250,-50.0(-0.79%),"7,025,669","70,257",70.26,02_1兆以上~10兆未満
8593,三菱ＨＣキャピタル,東P,1258.5,-6.5(-0.51%),"1,846,109","18,461",18.46,02_1兆以上~10兆未満
8595,ジャフコ　グループ,東P,2203.5,+1.5(+0.07%),"119,540","1,195",1.20,04_1000億以上~5000億未満
8596,九州リースサービス,東S,1378,-7.0(-0.51%),"35,762",358,0.36,06_100億以上~500億未満
8600,トモニＨＬＤＧ,東P,853,+5.0(+0.59%),"165,084","1,651",1.65,04_1000億以上~5000億未満
8601,大和証券グループ本社,東P,1532.5,+0.0(+0.00%),"2,405,073","24,051",24.05,02_1兆以上~10兆未満
8604,野村ＨＬＤＧ,東P,1349.5,-1.0(-0.07%),"4,168,016","41,680",41.68,02_1兆以上~10兆未満
8609,岡三証券グループ,東P,937,+1.0(+0.11%),"216,650","2,167",2.17,04_1000億以上~5000億未満
8613,丸三証券,東P,1044,-4.0(-0.38%),"70,364",704,0.70,05_500億以上~1000億未満
8614,東洋証券,東P,596,-12.0(-1.97%),"44,031",440,0.44,06_100億以上~500億未満
8616,東海東京フィナンシャルＨＬＤＧ,東P,701,-6.0(-0.85%),"182,668","1,827",1.83,04_1000億以上~5000億未満
8617,光世証券,東S,534,+1.0(+0.19%),"5,066",51,0.05,07_100億未満
8622,水戸証券,東P,630,-5.0(-0.79%),"41,384",414,0.41,06_100億以上~500億未満
8624,いちよし証券,東P,1268,-38.0(-2.91%),"48,097",481,0.48,06_100億以上~500億未満
8628,松井証券,東P,937,-11.0(-1.16%),"242,931","2,429",2.43,04_1000億以上~5000億未満
8630,ＳＯＭＰＯ　ＨＬＤＧ,東P,5774,-126.0(-2.14%),"5,394,237","53,942",53.94,02_1兆以上~10兆未満
8697,日本取引所グループ,東P,2039,-94.0(-4.41%),"2,103,810","21,038",21.04,02_1兆以上~10兆未満
8698,マネックスグループ,東P,630,-12.0(-1.87%),"158,538","1,585",1.59,04_1000億以上~5000億未満
8699,ＨＳＨＬＤＧ,東S,1129,-18.0(-1.57%),"46,237",462,0.46,06_100億以上~500億未満
8700,丸八証券,東S,1728,+12.0(+0.70%),"6,986",70,0.07,07_100億未満
8704,トレイダーズＨＬＤＧ,東S,1108,-70.0(-5.94%),"32,729",327,0.33,06_100億以上~500億未満
8705,日産証券グループ,東S,228,+0.0(+0.00%),"12,546",125,0.13,06_100億以上~500億未満
8706,極東証券,東P,1525,-14.0(-0.91%),"49,988",500,0.50,06_100億以上~500億未満
8707,岩井コスモＨＬＤＧ,東P,3800,-80.0(-2.06%),"95,049",950,0.95,05_500億以上~1000億未満
8708,アイザワ証券グループ,東P,1408,-14.0(-0.98%),"55,652",557,0.56,05_500億以上~1000億未満
8713,フィデアＨＬＤＧ,東P,1941,+10.0(+0.52%),"35,214",352,0.35,06_100億以上~500億未満
8714,池田泉州ＨＬＤＧ,東P,974,+27.0(+2.85%),"273,702","2,737",2.74,04_1000億以上~5000億未満
8715,アニコムＨＤ,東P,1210,+21.0(+1.77%),"90,676",907,0.91,05_500億以上~1000億未満
8725,ＭＳ＆ＡＤインシュアランスＨＤ,東P,4247,-47.0(-1.09%),"6,338,868","63,389",63.39,02_1兆以上~10兆未満
8729,ソニーフィナンシャルグループ,東P,141.5,+1.5(+1.07%),"958,006","9,580",9.58,03_5000億以上~1兆未満
8737,あかつき本社,東S,588,-2.0(-0.34%),"20,009",200,0.20,06_100億以上~500億未満
8739,スパークス・グループ,東P,2128,+2.0(+0.09%),"88,329",883,0.88,05_500億以上~1000億未満
8742,小林洋行,東S,555,+4.0(+0.73%),"6,968",70,0.07,07_100億未満
8746,ｕｎｂａｎｋｅｄ,東S,213,+14.0(+7.04%),"3,236",32,0.03,07_100億未満
8747,豊トラスティ証券,東S,2090,-33.0(-1.55%),"18,596",186,0.19,06_100億以上~500億未満
8750,第一ライフグループ,東P,1647.5,-2.5(-0.15%),"5,967,072","59,671",59.67,02_1兆以上~10兆未満
8766,東京海上ＨＬＤＧ,東P,6940,-158.0(-2.23%),"13,421,960","134,220",134.22,01_10兆以上
8769,アドバンテッジリスクマネジメン,東S,487,+5.0(+1.04%),"7,928",79,0.08,07_100億未満
8771,イー・ギャランティ,東P,1617,-40.0(-2.41%),"73,307",733,0.73,05_500億以上~1000億未満
8772,アサックス,東S,775,-30.0(-3.73%),"25,560",256,0.26,06_100億以上~500億未満
8783,ａｂｃ,東S,109,-7.0(-6.03%),"4,311",43,0.04,07_100億未満
8789,フィンテック　グローバル,東S,121,-2.0(-1.63%),"24,360",244,0.24,06_100億以上~500億未満
8793,ＮＥＣキャピタルソリューション,東P,3945,+15.0(+0.38%),"85,013",850,0.85,05_500億以上~1000億未満
8795,Ｔ＆Ｄ　ＨＬＤＧ,東P,4125,-106.0(-2.51%),"2,013,000","20,130",20.13,02_1兆以上~10兆未満
8798,アドバンスクリエイト,東P,139,-9.0(-6.08%),"5,208",52,0.05,07_100億未満
8801,三井不動産,東P,1467.5,-11.0(-0.74%),"3,989,452","39,895",39.89,02_1兆以上~10兆未満
8802,三菱地所,東P,3931,-26.0(-0.66%),"4,784,947","47,849",47.85,02_1兆以上~10兆未満
8803,平和不動産,東P,2277,-33.0(-1.43%),"161,713","1,617",1.62,04_1000億以上~5000億未満
8804,東京建物,東P,3139,-63.0(-1.97%),"652,845","6,528",6.53,03_5000億以上~1兆未満
8818,京阪神ビルディング,東P,2032,-112.0(-5.22%),"99,185",992,0.99,05_500億以上~1000億未満
8830,住友不動産,東P,3518,-123.0(-3.38%),"3,292,848","32,928",32.93,02_1兆以上~10兆未満
8835,太平洋興発,東S,757,+9.0(+1.20%),"5,892",59,0.06,07_100億未満
8836,ＲＩＳＥ,東S,24,+0.0(+0.00%),"2,304",23,0.02,07_100億未満
8841,テーオーシー,東S,914,-46.0(-4.79%),"85,778",858,0.86,05_500億以上~1000億未満
8844,コスモスイニシア,東S,1168,-3.0(-0.26%),"39,608",396,0.40,06_100億以上~500億未満
8848,レオパレス２１,東P,612,-8.0(-1.29%),"204,662","2,047",2.05,04_1000億以上~5000億未満
8850,スターツコーポレーション,東P,4450,-45.0(-1.00%),"240,292","2,403",2.40,04_1000億以上~5000億未満
